tAhead,hForecasted,forecaopenstfitInsol,persistence
0.5,21,7.264419621400009e-11,0.9000000000005068
0.5,22,7.264419621400009e-11,0.9000000000005068
0.5,23,7.264419621400009e-11,0.9000000000005068
0.75,0,7.264419621400009e-11,0.9000000000005068
0.75,1,7.264419621400009e-11,0.9000000000005068
0.75,2,7.264419621400009e-11,0.9000000000005068
0.75,3,7.264419621400009e-11,0.9000000000005068
0.75,4,7.264419621400009e-11,0.9000000000005068
0.75,5,7.264419621400009e-11,0.9000000000005068
0.75,6,7.264419621400009e-11,0.9000000000005068
0.75,7,0.18675464181942003,0.7132453581805877
0.75,8,0.4538682763773334,0.4461317236197209
0.75,9,0.5996554543129095,0.4917845694016207
0.75,10,0.6517535040517441,0.44824649593270605
0.75,11,0.777925260811448,0.32207473935213743
0.75,12,0.6041742853561104,0.438012649660739
0.75,13,0.6259237643852309,0.47407623561450685
0.75,14,0.4167960393386842,0.6832039606615007
0.75,15,0.15511433722956544,0.7448856627880559
0.75,16,3.555461480786448e-12,0.9000000000003054
0.75,17,3.555461480786448e-12,0.9000000000003054
0.75,18,3.555461480786448e-12,0.9000000000003054
0.75,19,3.555461480786448e-12,0.9000000000003054
0.75,20,3.555461480786448e-12,0.9000000000003054
0.75,21,3.555461480786448e-12,0.9000000000003054
0.75,22,3.555461480786448e-12,0.9000000000003054
0.75,23,3.555461480786448e-12,0.9000000000003054
1.0,0,3.555461480786448e-12,0.9000000000003054
1.0,1,3.555461480786448e-12,0.9000000000003054
1.0,2,3.555461480786448e-12,0.9000000000003054
1.0,3,3.555461480786448e-12,0.9000000000003054
1.0,4,3.555461480786448e-12,0.9000000000003054
1.0,5,3.555461480786448e-12,0.9000000000003054
1.0,6,3.555461480786448e-12,0.9000000000003054
1.0,7,0.1867546421876055,0.713245357812354
1.0,8,0.4662985974785581,0.4337014025214953
1.0,9,0.5751817601658309,0.5034123103335669
1.0,10,0.7366174201412797,0.3633825798202862
1.0,11,0.8167325671433288,0.2832674327992214
1.0,12,0.6136104873552288,0.42520417597387294
1.0,13,0.6136104873552288,0.42520417597387294
1.0,14,0.5101425766661809,0.5874155147821589
1.0,15,0.1747664291345571,0.7252335708457011
1.0,16,4.58227900068664e-11,0.9000000000017518
1.0,17,4.58227900068664e-11,0.9000000000017518
1.0,18,4.58227900068664e-11,0.9000000000017518
1.0,19,4.58227900068664e-11,0.9000000000017518
1.0,20,4.58227900068664e-11,0.9000000000017518
1.0,21,4.58227900068664e-11,0.9000000000017518
1.0,22,4.58227900068664e-11,0.9000000000017518
1.0,23,4.58227900068664e-11,0.9000000000017518
1.25,0,4.58227900068664e-11,0.9000000000017518
1.25,1,4.58227900068664e-11,0.9000000000017518
1.25,2,4.58227900068664e-11,0.9000000000017518
1.25,3,4.58227900068664e-11,0.9000000000017518
1.25,4,4.58227900068664e-11,0.9000000000017518
1.25,5,4.58227900068664e-11,0.9000000000017518
1.25,6,4.58227900068664e-11,0.9000000000017518
1.25,7,0.1954721652651311,0.704527834734883
1.25,8,0.5058012905500106,0.3941987094499889
1.25,9,0.6294618067699269,0.4505973160997218
1.25,10,0.7789876735735876,0.3210123264256479
1.25,11,0.8333230557312218,0.2666769443472938
1.25,12,0.7175443125794122,0.3751475376304815
1.25,13,0.7175443125794122,0.3751475376304815
1.25,14,0.5121020018153263,0.498538765830647
1.25,15,0.1725515189480402,0.7274484810421356
1.25,16,0.0,0.9000000000011491
1.25,17,0.0,0.9000000000011491
1.25,18,0.0,0.9000000000011491
1.25,19,0.0,0.9000000000011491
1.25,20,0.0,0.9000000000011491
1.25,21,0.0,0.9000000000011491
1.25,22,0.0,0.9000000000011491
